Location,Latitude,Longitude
Albury,-36.074816,146.923828
BadgerysCreek,-33.884444,150.783056
Cobar,-31.496667,145.834167
CoffsHarbour,-30.296263,153.113533
Moree,-29.462778,149.841667
Newcastle,-32.926670,151.778900
NorahHead,-33.281389,151.568611
NorfolkIsland,-29.032222,167.958611
Penrith,-33.751389,150.700000
Richmond,-33.599500,150.742400
Sydney,-33.868820,151.209296
SydneyAirport,-33.939900,151.175300
WaggaWagga,-35.117000,147.357800
Williamtown,-32.806300,151.843600
Wollongong,-34.424000,150.893900
Canberra,-35.280937,149.130009
Tuggeranong,-35.424400,149.088800
MountGinini,-35.529000,148.772000
Ballarat,-37.562200,143.850300
Bendigo,-36.757300,144.278800
Sale,-38.110400,147.066300
MelbourneAirport,-37.669000,144.841000
Melbourne,-37.813611,144.963056
Mildura,-34.206600,142.135300
Nhil,-36.333333,141.650000
Portland,-38.340000,141.590000
Watsonia,-37.716667,145.083333
Dartmoor,-37.916667,141.266667
Brisbane,-27.469769,153.025124
Cairns,-16.918611,145.778056
GoldCoast,-28.016667,153.400000
Townsville,-19.259000,146.816900
Adelaide,-34.928500,138.600700
MountGambier,-37.831600,140.765200
Nuriootpa,-34.466667,139.000000
Woomera,-31.199100,136.821200
Albany,-35.026944,117.883889
Witchcliffe,-34.033333,115.100000
PearceRAAF,-31.667800,116.016700
PerthAirport,-31.940278,115.966944
Perth,-31.950500,115.860500
SalmonGums,-32.983333,121.633333
Walpole,-34.983333,116.733333
Hobart,-42.882600,147.325700
Launceston,-41.433333,147.133333
AliceSprings,-23.698000,133.880700
Darwin,-12.463440,130.845642
Katherine,-14.466667,132.266667
Uluru,-25.344444,131.036944
